PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_enhancers.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr8-304	chr8	22178592	22179382	+	22188368	NA	NA	NA	NA	NA								
chr16-302	chr16	22184862	22185295	+	22170308	NA	NA	NA	NA	NA								
chr8-300	chr8	22175782	22176688	+	22169337	NA	NA	NA	NA	NA								
chr8-301	chr8	22175782	22176688	+	22169337	NA	NA	NA	NA	NA								
chr10-236	chr10	22086528	22087033	+	22162991	NA	NA	NA	NA	NA								
chrX-108	chrX	22137181	22137872	+	22162732	NA	NA	NA	NA	NA								
chrX-107	chrX	22137181	22137872	+	22162732	NA	NA	NA	NA	NA								
chr16-301	chr16	22165543	22166299	+	22162491	NA	NA	NA	NA	NA								
chr8-299	chr8	22143658	22144179	+	22146829	NA	NA	NA	NA	NA								
chr1-624	chr1	22131979	22132493	+	22142849	NA	NA	NA	NA	NA								
chr1-625	chr1	22131979	22132493	+	22142849	NA	NA	NA	NA	NA								
chr8-297	chr8	22141490	22142064	+	22138019	NA	NA	NA	NA	NA								
chr8-298	chr8	22141490	22142064	+	22138019	NA	NA	NA	NA	NA								
chr6-575	chr6	22147803	22149003	+	22133204	NA	NA	NA	NA	NA								
chr6-577	chr6	22147803	22149003	+	22133204	NA	NA	NA	NA	NA								
chr6-576	chr6	22147803	22149003	+	22133204	NA	NA	NA	NA	NA								
chr6-578	chr6	22147803	22149003	+	22133204	NA	NA	NA	NA	NA								
chr8-296	chr8	22122543	22122911	+	22130457	NA	NA	NA	NA	NA								
chr7-244	chr7	22193547	22194014	+	22118235	NA	NA	NA	NA	NA								
chr7-243	chr7	22153524	22154108	+	22118235	NA	NA	NA	NA	NA								
chr9-340	chr9	22159055	22159586	+	22117664	NA	NA	NA	NA	NA								
chr1-623	chr1	22105670	22106037	+	22117312	NA	NA	NA	NA	NA								
chr8-295	chr8	22120693	22121222	+	22114418	NA	NA	NA	NA	NA								
chr8-294	chr8	22120693	22121222	+	22114418	NA	NA	NA	NA	NA								
chr13-33	chr13	22285502	22286972	+	22113118	NA	NA	NA	NA	NA								
chr13-34	chr13	22285502	22286972	+	22113118	NA	NA	NA	NA	NA								
chr13-35	chr13	22285502	22286972	+	22113118	NA	NA	NA	NA	NA								
chr13-36	chr13	22285502	22286972	+	22113118	NA	NA	NA	NA	NA								
chr8-293	chr8	22103334	22103771	+	22106873	NA	NA	NA	NA	NA								
chr12-435	chr12	22084117	22084487	+	22104490	NA	NA	NA	NA	NA								
chr16-300	chr16	22099151	22099226	+	22092537	NA	NA	NA	NA	NA								
chr8-292	chr8	22080510	22080895	+	22089149	NA	NA	NA	NA	NA								
chr18-182	chr18	22069304	22070383	+	22088059	NA	NA	NA	NA	NA								
chr18-181	chr18	22069304	22070383	+	22088059	NA	NA	NA	NA	NA								
chr18-180	chr18	22045236	22045861	+	22088059	NA	NA	NA	NA	NA								
chr18-183	chr18	22069304	22070383	+	22088059	NA	NA	NA	NA	NA								
chr18-179	chr18	22044475	22045114	+	22088059	NA	NA	NA	NA	NA								
chr6-572	chr6	22055936	22057493	+	22085543	NA	NA	NA	NA	NA								
chr6-570	chr6	22042612	22043498	+	22085543	NA	NA	NA	NA	NA								
chr6-573	chr6	22055936	22057493	+	22085543	NA	NA	NA	NA	NA								
chr6-574	chr6	22055936	22057493	+	22085543	NA	NA	NA	NA	NA								
chr6-571	chr6	22042612	22043498	+	22085543	NA	NA	NA	NA	NA								
chr16-298	chr16	22077427	22078132	+	22083255	NA	NA	NA	NA	NA								
chr16-299	chr16	22077427	22078132	+	22083255	NA	NA	NA	NA	NA								
chr20-361	chr20	22106378	22106628	+	22054073	NA	NA	NA	NA	NA								
chr8-290	chr8	22054027	22054541	+	22048994	NA	NA	NA	NA	NA								
chr8-291	chr8	22054027	22054541	+	22048994	NA	NA	NA	NA	NA								
chr12-434	chr12	22037063	22037265	+	22046217	NA	NA	NA	NA	NA								
chr1-622	chr1	22038122	22038406	+	22030526	NA	NA	NA	NA	NA								
chr8-289	chr8	22009641	22010879	+	22024124	NA	NA	NA	NA	NA								
chr8-288	chr8	22009641	22010879	+	22024124	NA	NA	NA	NA	NA								
chr8-287	chr8	22009641	22010879	+	22024124	NA	NA	NA	NA	NA								
chr8-285	chr8	21991255	21992025	+	22024124	NA	NA	NA	NA	NA								
chr8-286	chr8	21991255	21992025	+	22024124	NA	NA	NA	NA	NA								
chr9-339	chr9	22008583	22009680	+	22012154	NA	NA	NA	NA	NA								
chr9-338	chr9	22008583	22009680	+	22012154	NA	NA	NA	NA	NA								
chr16-295	chr16	22000912	22001653	+	21998309	NA	NA	NA	NA	NA								
chr16-296	chr16	22000912	22001653	+	21998309	NA	NA	NA	NA	NA								
chr16-297	chr16	22000912	22001653	+	21998309	NA	NA	NA	NA	NA								
chr22-117	chr22	21982085	21983015	+	21991098	NA	NA	NA	NA	NA								
chr22-116	chr22	21982085	21983015	+	21991098	NA	NA	NA	NA	NA								
chr18-178	chr18	22019827	22020859	+	21981120	NA	NA	NA	NA	NA								
chr18-175	chr18	21996037	21996949	+	21981120	NA	NA	NA	NA	NA								
chr18-174	chr18	21996037	21996949	+	21981120	NA	NA	NA	NA	NA								
chr18-173	chr18	21956218	21956982	+	21981120	NA	NA	NA	NA	NA								
chr18-177	chr18	22019827	22020859	+	21981120	NA	NA	NA	NA	NA								
chr18-172	chr18	21956218	21956982	+	21981120	NA	NA	NA	NA	NA								
chr18-176	chr18	22001906	22002405	+	21981120	NA	NA	NA	NA	NA								
chr1-621	chr1	21964022	21964296	+	21977021	NA	NA	NA	NA	NA								
chr22-115	chr22	21964071	21964691	+	21957024	NA	NA	NA	NA	NA								
chr22-114	chr22	21964071	21964691	+	21957024	NA	NA	NA	NA	NA								
chr1-619	chr1	21935747	21936693	+	21950678	NA	NA	NA	NA	NA								
chr1-620	chr1	21936933	21937974	+	21950678	NA	NA	NA	NA	NA								
chr1-618	chr1	21935747	21936693	+	21950678	NA	NA	NA	NA	NA								
chr1-617	chr1	21935747	21936693	+	21950678	NA	NA	NA	NA	NA								
chrX-106	chrX	21985303	21985478	+	21940708	NA	NA	NA	NA	NA								
chr20-360	chr20	21944016	21944652	+	21937757	NA	NA	NA	NA	NA								
chr10-232	chr10	22002497	22003988	+	21933142	NA	NA	NA	NA	NA								
chr10-231	chr10	22002497	22003988	+	21933142	NA	NA	NA	NA	NA								
chr10-234	chr10	22002497	22003988	+	21933142	NA	NA	NA	NA	NA								
chr10-233	chr10	22002497	22003988	+	21933142	NA	NA	NA	NA	NA								
chr10-235	chr10	22012236	22012613	+	21933142	NA	NA	NA	NA	NA								
chr8-282	chr8	21915399	21915558	+	21919661	NA	NA	NA	NA	NA								
chr8-283	chr8	21959792	21960130	+	21919661	NA	NA	NA	NA	NA								
chr8-284	chr8	21960580	21961203	+	21919661	NA	NA	NA	NA	NA								
chr18-171	chr18	21897772	21897943	+	21914368	NA	NA	NA	NA	NA								
chr8-281	chr8	21905840	21906479	+	21908872	NA	NA	NA	NA	NA								
chr1-615	chr1	21920859	21922103	+	21908097	NA	NA	NA	NA	NA								
chr1-616	chr1	21920859	21922103	+	21908097	NA	NA	NA	NA	NA								
chr1-613	chr1	21914785	21915245	+	21908097	NA	NA	NA	NA	NA								
chr1-614	chr1	21920859	21922103	+	21908097	NA	NA	NA	NA	NA								
chr7-241	chr7	21944595	21944928	+	21900898	NA	NA	NA	NA	NA								
chr7-240	chr7	21805856	21806100	+	21900898	NA	NA	NA	NA	NA								
chr7-242	chr7	21945565	21946290	+	21900898	NA	NA	NA	NA	NA								
chr7-239	chr7	21767276	21767672	+	21900898	NA	NA	NA	NA	NA								
chr22-110	chr22	21866733	21867975	+	21885281	NA	NA	NA	NA	NA								
chr22-108	chr22	21866733	21867975	+	21885281	NA	NA	NA	NA	NA								
chr22-111	chr22	21866733	21867975	+	21885281	NA	NA	NA	NA	NA								
chr22-112	chr22	21866733	21867975	+	21885281	NA	NA	NA	NA	NA								
chr22-109	chr22	21866733	21867975	+	21885281	NA	NA	NA	NA	NA								
chr22-113	chr22	21866733	21867975	+	21885281	NA	NA	NA	NA	NA								
chr12-431	chr12	21891369	21892195	+	21828359	NA	NA	NA	NA	NA								
chr12-432	chr12	21891369	21892195	+	21828359	NA	NA	NA	NA	NA								
chr12-433	chr12	21891369	21892195	+	21828359	NA	NA	NA	NA	NA								
chr6-567	chr6	21893743	21894451	+	21822535	NA	NA	NA	NA	NA								
chr6-565	chr6	21825925	21826465	+	21822535	NA	NA	NA	NA	NA								
chr6-566	chr6	21887402	21888008	+	21822535	NA	NA	NA	NA	NA								
chr6-564	chr6	21782127	21782797	+	21822535	NA	NA	NA	NA	NA								
chr6-569	chr6	21924068	21924467	+	21822535	NA	NA	NA	NA	NA								
chr6-568	chr6	21893743	21894451	+	21822535	NA	NA	NA	NA	NA								
chr1-611	chr1	21853911	21854549	+	21822243	NA	NA	NA	NA	NA								
chr1-609	chr1	21833254	21834255	+	21822243	NA	NA	NA	NA	NA								
chr1-608	chr1	21833254	21834255	+	21822243	NA	NA	NA	NA	NA								
chr1-612	chr1	21853911	21854549	+	21822243	NA	NA	NA	NA	NA								
chr1-610	chr1	21847429	21847582	+	21822243	NA	NA	NA	NA	NA								
chr9-337	chr9	21788148	21788756	+	21802635	NA	NA	NA	NA	NA								
chr9-335	chr9	21761320	21761851	+	21802635	NA	NA	NA	NA	NA								
chr9-336	chr9	21787667	21787860	+	21802635	NA	NA	NA	NA	NA								
chr8-280	chr8	21844641	21844994	+	21797459	NA	NA	NA	NA	NA								
chr8-279	chr8	21784421	21784650	+	21797459	NA	NA	NA	NA	NA								
chr18-170	chr18	21760332	21760565	+	21793882	NA	NA	NA	NA	NA								
chr13-32	chr13	21812426	21812828	+	21790536	NA	NA	NA	NA	NA								
chr13-29	chr13	21739351	21740131	+	21790536	NA	NA	NA	NA	NA								
chr13-30	chr13	21739351	21740131	+	21790536	NA	NA	NA	NA	NA								
chr13-31	chr13	21739351	21740131	+	21790536	NA	NA	NA	NA	NA								
chr10-230	chr10	21803164	21803536	+	21785291	NA	NA	NA	NA	NA								
chr1-605	chr1	21782322	21783835	+	21768268	NA	NA	NA	NA	NA								
chr1-607	chr1	21782322	21783835	+	21768268	NA	NA	NA	NA	NA								
chr1-606	chr1	21782322	21783835	+	21768268	NA	NA	NA	NA	NA								
chr1-604	chr1	21782322	21783835	+	21768268	NA	NA	NA	NA	NA								
chr12-430	chr12	21775457	21775631	+	21764954	NA	NA	NA	NA	NA								
chr12-429	chr12	21774513	21775114	+	21764954	NA	NA	NA	NA	NA								
chr12-428	chr12	21774513	21775114	+	21764954	NA	NA	NA	NA	NA								
chr22-107	chr22	21763117	21763520	+	21759656	NA	NA	NA	NA	NA								
chr10-229	chr10	21732241	21732441	+	21756547	NA	NA	NA	NA	NA								
chr18-168	chr18	21740464	21742305	+	21724118	NA	NA	NA	NA	NA								
chr18-165	chr18	21740464	21742305	+	21724118	NA	NA	NA	NA	NA								
chr18-169	chr18	21740464	21742305	+	21724118	NA	NA	NA	NA	NA								
chr18-166	chr18	21740464	21742305	+	21724118	NA	NA	NA	NA	NA								
chr18-167	chr18	21740464	21742305	+	21724118	NA	NA	NA	NA	NA								
chrX-105	chrX	21725535	21725808	+	21705977	NA	NA	NA	NA	NA								
chr4-218	chr4	21743468	21744450	+	21697449	NA	NA	NA	NA	NA								
chr4-220	chr4	21764149	21766180	+	21697449	NA	NA	NA	NA	NA								
chr4-219	chr4	21743468	21744450	+	21697449	NA	NA	NA	NA	NA								
chr4-222	chr4	21764149	21766180	+	21697449	NA	NA	NA	NA	NA								
chr4-223	chr4	21764149	21766180	+	21697449	NA	NA	NA	NA	NA								
chr4-221	chr4	21764149	21766180	+	21697449	NA	NA	NA	NA	NA								
chr4-217	chr4	21742836	21743395	+	21697449	NA	NA	NA	NA	NA								
chr18-164	chr18	21678720	21679254	+	21683509	NA	NA	NA	NA	NA								
chr1-597	chr1	21649761	21650265	+	21678297	NA	NA	NA	NA	NA								
chr1-601	chr1	21668401	21669957	+	21678297	NA	NA	NA	NA	NA								
chr1-602	chr1	21668401	21669957	+	21678297	NA	NA	NA	NA	NA								
chr1-599	chr1	21668401	21669957	+	21678297	NA	NA	NA	NA	NA								
chr1-598	chr1	21649761	21650265	+	21678297	NA	NA	NA	NA	NA								
chr1-600	chr1	21668401	21669957	+	21678297	NA	NA	NA	NA	NA								
chr1-603	chr1	21689481	21689869	+	21678297	NA	NA	NA	NA	NA								
chr13-28	chr13	21675329	21675586	+	21671072	NA	NA	NA	NA	NA								
chr6-562	chr6	21738000	21738859	+	21664183	NA	NA	NA	NA	NA								
chr6-560	chr6	21684001	21685200	+	21664183	NA	NA	NA	NA	NA								
chr6-563	chr6	21738000	21738859	+	21664183	NA	NA	NA	NA	NA								
chr6-561	chr6	21684001	21685200	+	21664183	NA	NA	NA	NA	NA								
chr16-293	chr16	21657261	21657502	+	21663967	NA	NA	NA	NA	NA								
chr16-294	chr16	21708575	21708802	+	21663967	NA	NA	NA	NA	NA								
chr12-427	chr12	21709483	21709858	+	21662312	NA	NA	NA	NA	NA								
chr12-426	chr12	21697968	21698370	+	21662312	NA	NA	NA	NA	NA								
chr12-425	chr12	21657405	21658508	+	21662312	NA	NA	NA	NA	NA								
chr22-106	chr22	21646831	21647039	+	21642301	NA	NA	NA	NA	NA								
chr12-421	chr12	21603074	21603418	+	21635341	NA	NA	NA	NA	NA								
chr12-422	chr12	21604336	21605195	+	21635341	NA	NA	NA	NA	NA								
chr12-424	chr12	21607760	21608014	+	21635341	NA	NA	NA	NA	NA								
chr12-423	chr12	21604336	21605195	+	21635341	NA	NA	NA	NA	NA								
chr13-26	chr13	21603481	21604315	+	21628412	NA	NA	NA	NA	NA								
chr13-27	chr13	21603481	21604315	+	21628412	NA	NA	NA	NA	NA								
chr22-104	chr22	21592977	21593601	+	21628088	NA	NA	NA	NA	NA								
chr22-105	chr22	21592977	21593601	+	21628088	NA	NA	NA	NA	NA								
chr18-163	chr18	21599638	21601065	+	21612313	NA	NA	NA	NA	NA								
chr18-161	chr18	21599638	21601065	+	21612313	NA	NA	NA	NA	NA								
chr18-162	chr18	21599638	21601065	+	21612313	NA	NA	NA	NA	NA								
chr18-160	chr18	21599638	21601065	+	21612313	NA	NA	NA	NA	NA								
chr1-589	chr1	21614572	21615180	+	21596220	NA	NA	NA	NA	NA								
chr1-593	chr1	21623330	21623993	+	21596220	NA	NA	NA	NA	NA								
chr1-581	chr1	21591600	21592251	+	21596220	NA	NA	NA	NA	NA								
chr1-588	chr1	21604563	21605398	+	21596220	NA	NA	NA	NA	NA								
chr1-594	chr1	21631867	21632302	+	21596220	NA	NA	NA	NA	NA								
chr1-592	chr1	21622016	21622836	+	21596220	NA	NA	NA	NA	NA								
chr1-595	chr1	21633984	21635303	+	21596220	NA	NA	NA	NA	NA								
chr1-590	chr1	21614572	21615180	+	21596220	NA	NA	NA	NA	NA								
chr1-596	chr1	21633984	21635303	+	21596220	NA	NA	NA	NA	NA								
chr1-583	chr1	21592508	21592795	+	21596220	NA	NA	NA	NA	NA								
chr1-591	chr1	21614572	21615180	+	21596220	NA	NA	NA	NA	NA								
chr1-584	chr1	21602583	21603353	+	21596220	NA	NA	NA	NA	NA								
chr1-585	chr1	21602583	21603353	+	21596220	NA	NA	NA	NA	NA								
chr1-587	chr1	21604563	21605398	+	21596220	NA	NA	NA	NA	NA								
chr1-582	chr1	21591600	21592251	+	21596220	NA	NA	NA	NA	NA								
chr1-586	chr1	21604563	21605398	+	21596220	NA	NA	NA	NA	NA								
chr6-557	chr6	21588198	21589567	+	21593750	NA	NA	NA	NA	NA								
chr6-556	chr6	21586956	21587491	+	21593750	NA	NA	NA	NA	NA								
chr6-559	chr6	21588198	21589567	+	21593750	NA	NA	NA	NA	NA								
chr6-558	chr6	21588198	21589567	+	21593750	NA	NA	NA	NA	NA								
chr1-579	chr1	21574581	21575106	+	21586471	NA	NA	NA	NA	NA								
chr1-578	chr1	21567078	21567724	+	21586471	NA	NA	NA	NA	NA								
chr1-580	chr1	21574581	21575106	+	21586471	NA	NA	NA	NA	NA								
chr14-31	chr14	21557597	21557825	+	21563818	NA	NA	NA	NA	NA								
chr20-359	chr20	21571874	21572419	+	21557416	NA	NA	NA	NA	NA								
chr22-103	chr22	21588004	21588229	+	21555137	NA	NA	NA	NA	NA								
chr22-98	chr22	21567473	21568759	+	21555137	NA	NA	NA	NA	NA								
chr22-99	chr22	21567473	21568759	+	21555137	NA	NA	NA	NA	NA								
chr22-101	chr22	21567473	21568759	+	21555137	NA	NA	NA	NA	NA								
chr22-102	chr22	21567473	21568759	+	21555137	NA	NA	NA	NA	NA								
chr22-100	chr22	21567473	21568759	+	21555137	NA	NA	NA	NA	NA								
chr1-574	chr1	21532615	21533301	+	21547403	NA	NA	NA	NA	NA								
chr1-575	chr1	21536256	21536575	+	21547403	NA	NA	NA	NA	NA								
chr1-577	chr1	21540272	21540956	+	21547403	NA	NA	NA	NA	NA								
chr1-576	chr1	21540272	21540956	+	21547403	NA	NA	NA	NA	NA								
chr7-235	chr7	21563935	21565044	+	21543038	NA	NA	NA	NA	NA								
chr7-237	chr7	21616111	21616778	+	21543038	NA	NA	NA	NA	NA								
chr7-236	chr7	21616111	21616778	+	21543038	NA	NA	NA	NA	NA								
chr7-234	chr7	21563935	21565044	+	21543038	NA	NA	NA	NA	NA								
chr7-238	chr7	21616111	21616778	+	21543038	NA	NA	NA	NA	NA								
chr12-420	chr12	21573877	21574528	+	21536202	NA	NA	NA	NA	NA								
chr18-158	chr18	21534184	21535065	+	21529283	NA	NA	NA	NA	NA								
chr18-159	chr18	21559795	21560070	+	21529283	NA	NA	NA	NA	NA								
chr18-157	chr18	21490030	21490602	+	21529283	NA	NA	NA	NA	NA								
chr6-555	chr6	21539973	21540647	+	21528738	NA	NA	NA	NA	NA								
chr6-553	chr6	21539973	21540647	+	21528738	NA	NA	NA	NA	NA								
chr6-554	chr6	21539973	21540647	+	21528738	NA	NA	NA	NA	NA								
chr10-227	chr10	21533340	21535550	+	21526567	NA	NA	NA	NA	NA								
chr10-226	chr10	21533340	21535550	+	21526567	NA	NA	NA	NA	NA								
chr10-225	chr10	21533340	21535550	+	21526567	NA	NA	NA	NA	NA								
chr10-228	chr10	21537909	21538169	+	21526567	NA	NA	NA	NA	NA								
chr10-224	chr10	21533340	21535550	+	21526567	NA	NA	NA	NA	NA								
chr10-223	chr10	21533340	21535550	+	21526567	NA	NA	NA	NA	NA								
chr9-333	chr9	21547742	21548039	+	21524306	NA	NA	NA	NA	NA								
chr9-334	chr9	21550954	21551384	+	21524306	NA	NA	NA	NA	NA								
chr14-27	chr14	21525521	21527018	+	21521082	NA	NA	NA	NA	NA								
chr14-29	chr14	21525521	21527018	+	21521082	NA	NA	NA	NA	NA								
chr14-30	chr14	21525521	21527018	+	21521082	NA	NA	NA	NA	NA								
chr14-28	chr14	21525521	21527018	+	21521082	NA	NA	NA	NA	NA								
chr14-25	chr14	21510650	21511528	+	21521079	NA	NA	NA	NA	NA								
chr14-26	chr14	21510650	21511528	+	21521079	NA	NA	NA	NA	NA								
chr10-220	chr10	21516153	21517795	+	21513474	NA	NA	NA	NA	NA								
chr10-222	chr10	21516153	21517795	+	21513474	NA	NA	NA	NA	NA								
chr10-221	chr10	21516153	21517795	+	21513474	NA	NA	NA	NA	NA								
chr10-219	chr10	21516153	21517795	+	21513474	NA	NA	NA	NA	NA								
chr9-331	chr9	21499932	21500437	+	21512114	NA	NA	NA	NA	NA								
chr9-332	chr9	21499932	21500437	+	21512114	NA	NA	NA	NA	NA								
chr1-573	chr1	21524668	21525443	+	21509396	NA	NA	NA	NA	NA								
chr1-572	chr1	21524668	21525443	+	21509396	NA	NA	NA	NA	NA								
chr1-571	chr1	21495183	21495680	+	21509396	NA	NA	NA	NA	NA								
chr20-358	chr20	21505260	21505832	+	21501394	NA	NA	NA	NA	NA								
chr20-357	chr20	21505260	21505832	+	21501394	NA	NA	NA	NA	NA								
chr10-218	chr10	21494076	21494495	+	21496561	NA	NA	NA	NA	NA								
chr6-552	chr6	21500823	21501302	+	21485895	NA	NA	NA	NA	NA								
chr13-25	chr13	21458587	21459777	+	21483833	NA	NA	NA	NA	NA								
chr13-24	chr13	21458587	21459777	+	21483833	NA	NA	NA	NA	NA								
chr22-96	chr22	21444872	21445595	+	21463962	NA	NA	NA	NA	NA								
chr22-97	chr22	21444872	21445595	+	21463962	NA	NA	NA	NA	NA								
chr14-22	chr14	21455621	21456620	+	21459019	NA	NA	NA	NA	NA								
chr14-23	chr14	21455621	21456620	+	21459019	NA	NA	NA	NA	NA								
chr14-24	chr14	21455621	21456620	+	21459019	NA	NA	NA	NA	NA								
chr18-156	chr18	21454363	21454648	+	21450652	NA	NA	NA	NA	NA								
chr14-19	chr14	21436871	21438011	+	21429507	NA	NA	NA	NA	NA								
chr14-20	chr14	21436871	21438011	+	21429507	NA	NA	NA	NA	NA								
chr14-21	chr14	21436871	21438011	+	21429507	NA	NA	NA	NA	NA								
chr7-232	chr7	21437503	21438167	+	21428042	NA	NA	NA	NA	NA								
chr7-233	chr7	21441032	21441364	+	21428042	NA	NA	NA	NA	NA								
chr7-231	chr7	21437503	21438167	+	21428042	NA	NA	NA	NA	NA								
chr7-228	chr7	21365926	21366687	+	21381362	NA	NA	NA	NA	NA								
chr7-229	chr7	21367994	21368646	+	21381362	NA	NA	NA	NA	NA								
chr7-230	chr7	21367994	21368646	+	21381362	NA	NA	NA	NA	NA								
chr18-155	chr18	21387081	21387317	+	21380285	NA	NA	NA	NA	NA								
chr18-154	chr18	21366686	21367370	+	21380285	NA	NA	NA	NA	NA								
chr12-418	chr12	21337473	21338660	+	21354958	NA	NA	NA	NA	NA								
chr12-417	chr12	21336616	21336933	+	21354958	NA	NA	NA	NA	NA								
chr12-416	chr12	21336616	21336926	+	21354958	NA	NA	NA	NA	NA								
chr12-419	chr12	21337473	21338660	+	21354958	NA	NA	NA	NA	NA								
chr9-328	chr9	21326675	21326759	+	21329664	NA	NA	NA	NA	NA								
chr9-330	chr9	21334766	21335802	+	21329664	NA	NA	NA	NA	NA								
chr9-329	chr9	21334766	21335802	+	21329664	NA	NA	NA	NA	NA								
chr18-153	chr18	21330078	21330633	+	21316877	NA	NA	NA	NA	NA								
chr18-152	chr18	21324068	21324351	+	21316877	NA	NA	NA	NA	NA								
chr16-292	chr16	21277476	21278385	+	21299902	NA	NA	NA	NA	NA								
chr16-291	chr16	21277476	21278385	+	21299902	NA	NA	NA	NA	NA								
chr16-290	chr16	21277476	21278385	+	21299902	NA	NA	NA	NA	NA								
chr1-564	chr1	21308603	21309196	+	21293289	NA	NA	NA	NA	NA								
chr1-567	chr1	21338085	21339019	+	21293289	NA	NA	NA	NA	NA								
chr1-565	chr1	21324793	21325033	+	21293289	NA	NA	NA	NA	NA								
chr1-566	chr1	21338085	21339019	+	21293289	NA	NA	NA	NA	NA								
chr1-570	chr1	21345221	21345635	+	21293289	NA	NA	NA	NA	NA								
chr1-569	chr1	21344851	21345125	+	21293289	NA	NA	NA	NA	NA								
chr1-568	chr1	21341079	21341537	+	21293289	NA	NA	NA	NA	NA								
chr17-418	chr17	21295403	21295773	+	21284671	NA	NA	NA	NA	NA								
chr17-417	chr17	21287965	21288637	+	21284671	NA	NA	NA	NA	NA								
chr17-416	chr17	21287965	21288637	+	21284671	NA	NA	NA	NA	NA								
chr14-18	chr14	21300939	21301422	+	21280082	NA	NA	NA	NA	NA								
chr14-17	chr14	21269679	21270318	+	21280082	NA	NA	NA	NA	NA								
chr14-16	chr14	21269679	21270318	+	21280082	NA	NA	NA	NA	NA								
chr1-563	chr1	21250210	21250487	+	21266081	NA	NA	NA	NA	NA								
chr20-355	chr20	21235554	21236308	+	21265853	NA	NA	NA	NA	NA								
chr20-354	chr20	21235554	21236308	+	21265853	NA	NA	NA	NA	NA								
chr20-356	chr20	21235554	21236308	+	21265853	NA	NA	NA	NA	NA								
chr18-151	chr18	21264548	21265000	+	21242231	NA	NA	NA	NA	NA								
chr16-288	chr16	21246729	21247357	+	21238873	NA	NA	NA	NA	NA								
chr16-289	chr16	21261872	21262237	+	21238873	NA	NA	NA	NA	NA								
chr21-71	chr21	21188959	21189249	+	21223294	NA	NA	NA	NA	NA								
chr21-70	chr21	21188625	21188910	+	21223294	NA	NA	NA	NA	NA								
chr21-72	chr21	21283776	21284448	+	21223294	NA	NA	NA	NA	NA								
chr21-73	chr21	21286305	21286549	+	21223294	NA	NA	NA	NA	NA								
chr2-328	chr2	21254806	21255073	+	21221168	NA	NA	NA	NA	NA								
chr7-226	chr7	21253920	21254557	+	21220212	NA	NA	NA	NA	NA								
chr7-227	chr7	21253920	21254557	+	21220212	NA	NA	NA	NA	NA								
chr7-225	chr7	21253920	21254557	+	21220212	NA	NA	NA	NA	NA								
chr1-562	chr1	21232014	21232292	+	21217246	NA	NA	NA	NA	NA								
chr7-224	chr7	21131021	21131298	+	21215536	NA	NA	NA	NA	NA								
chr17-414	chr17	21173479	21173810	+	21197953	NA	NA	NA	NA	NA								
chr17-413	chr17	21166560	21166899	+	21197953	NA	NA	NA	NA	NA								
chr17-415	chr17	21191716	21191991	+	21197953	NA	NA	NA	NA	NA								
chr18-150	chr18	21195089	21195390	+	21182502	NA	NA	NA	NA	NA								
chr18-149	chr18	21195089	21195390	+	21182502	NA	NA	NA	NA	NA								
chr1-561	chr1	21187923	21188258	+	21177053	NA	NA	NA	NA	NA								
chr10-217	chr10	21182983	21183690	+	21174013	NA	NA	NA	NA	NA								
chr2-327	chr2	21118165	21118524	+	21123967	NA	NA	NA	NA	NA								
chr2-326	chr2	21118165	21118524	+	21123967	NA	NA	NA	NA	NA								
chr17-411	chr17	21126734	21127521	+	21123363	NA	NA	NA	NA	NA								
chr17-412	chr17	21126734	21127521	+	21123363	NA	NA	NA	NA	NA								
chr18-148	chr18	21110683	21112172	+	21119181	NA	NA	NA	NA	NA								
chr18-145	chr18	21110683	21112172	+	21119181	NA	NA	NA	NA	NA								
chr18-146	chr18	21110683	21112172	+	21119181	NA	NA	NA	NA	NA								
chr18-147	chr18	21110683	21112172	+	21119181	NA	NA	NA	NA	NA								
chr10-216	chr10	21078738	21078996	+	21110681	NA	NA	NA	NA	NA								
chr14-13	chr14	21103355	21104446	+	21108042	NA	NA	NA	NA	NA								
chr14-14	chr14	21103355	21104446	+	21108042	NA	NA	NA	NA	NA								
chr14-12	chr14	21103355	21104446	+	21108042	NA	NA	NA	NA	NA								
chr14-15	chr14	21104522	21104884	+	21108042	NA	NA	NA	NA	NA								
chr9-326	chr9	21110764	21111278	+	21106542	NA	NA	NA	NA	NA								
chr9-327	chr9	21110764	21111278	+	21106542	NA	NA	NA	NA	NA								
chr2-321	chr2	21097234	21097852	+	21094100	NA	NA	NA	NA	NA								
chr2-317	chr2	21070303	21071660	+	21094100	NA	NA	NA	NA	NA								
chr2-315	chr2	21070303	21071660	+	21094100	NA	NA	NA	NA	NA								
chr2-316	chr2	21070303	21071660	+	21094100	NA	NA	NA	NA	NA								
chr2-314	chr2	21070303	21071660	+	21094100	NA	NA	NA	NA	NA								
chr2-323	chr2	21103645	21103888	+	21094100	NA	NA	NA	NA	NA								
chr2-324	chr2	21104004	21104650	+	21094100	NA	NA	NA	NA	NA								
